id;descripcio;nogis;uso;nivel;N_patente;Nombre_comercio;Id_persona;Aprobacion;Categoria;Actividad ;Permiso_salud;Vigencia_p;Tipo_rotulo;Dimension;Rotulo;Provincia;Lic_licor;Codigo_act;Nogis_1;N_finca;F_real;Derecho;Direccion_;Filial;N_plano_ca;Tipo_persona;Distrito;Canton;Este;Norte;Longitud;Latitud
29578;PREDIO ORDINARIO;169005000;;0;77;LA ESQUINA;2673;12/8/2005;COM;Gastronomia;CS-ARS-SA-231-15;10/6/2019 00:00;;0;NO;1;0;0;169005000;58049;;0;SALITRAL, COSTADO SUR DE LA GUARDIA RURAL.;;NO SE INDICA;Fisica;SANTA ANA;SANTA ANA;480459.45;1095688.22;9.90903;-84.17819
37930;PREDIO ORDINARIO;322246000;;0;540;SODA EL TUNEL;2500;6/8/2014;COM;Gastronomia;540;;NL;0;SI;1;0;899;322246000;238655;;0;POZOS, DE LA GUARDIA RURAL, 130 SUR.;;1-1324420-2009;Fisica;POZOS;SANTA ANA;479486.03;1099708;9.94537;-84.18709
31947;PREDIO ORDINARIO;314080000;;0;613;CONFORT HOTEL REAL COSTA RICA;12347;5/2/2007;COM;Hotel;613;;;0;NO;1;103;421;314080000;515451;;0;POZOS, CONTIGUO A PIZZA HUT, HOTEL CONFORT.;;1-682542-2001;Juridica;POZOS;SANTA ANA;479134.53;1099719.72;9.94547;-84.1903
12700;URBANIZACION VALLE DEL SOL;114060000;HABITACIONAL;0;612;HOTEL ALTA;199646;4/12/2001;COM;Hotel;CS-ARS-SA-182-15;12/3/2020 00:00;;0;NO;1;118;427;114060000;132969;;0;DEL BAR-RESTAURANTE CEBOLLA VERDE 200 ESTE, HOTEL ALTA.;;1-110039-1993;Juridica;SANTA ANA;SANTA ANA;481633.41;1098373.54;9.93331;-84.1675
12088;PREDIO ORDINARIO;126911000;;0;381;SUCURSAL DE CORREOS SANTA ANA;12284;26/9/2000;COM;Institucional;381;;;0;NO;1;0;268;126911000;296342;;0;SANTA ANA, CENTRO, DE LA MUNICIPALIDAD 25 OESTE.;;1-336253-1979;Juridica;SANTA ANA;SANTA ANA;480120.54;1098352.86;9.93312;-84.1813
36244;PREDIO ORDINARIO;501046000;;0;509;SWISS TRAVEL SERVICE;15898;8/4/2021;COM;Oficinas;509;;;0;NO;1;0;630;501046000;591458;;0;BRASIL, DEL RESTAURANTE LA OVEJA NEGRA 500 OESTE, SWISS TRAVEL.;;1-1305398-2008;Fisica;BRASIL;SANTA ANA;475228.25;1098293.31;9.93255;-84.22591
25678;CONDOMINIO PARQUE EMPRESARIAL FORUM I;340116000;COMERCIAL;2;397;CYBERFUEL S. A.;100787;18/9/2004;COM;Oficinas;407-2018;30/7/2023 00:00;;0;NO;1;397;0;340116000;26980;;0;PARQUE EMPRESARIAL FORUM # 1, FILIAL # 1-B-2.;F;NO SE INDICA;Juridica;POZOS;SANTA ANA;478613.12;1099684.92;9.94516;-84.19505
27198;CONDOMINIO PARQUE EMPRESARIAL FORUM I;344092000;COMERCIAL;3;295;CHIQUITA BRAND;18436;8/11/2004;COM;Oficinas;295;;;0;SI;1;0;656;344092000;24179;;0;POZOS, PARQUE EMPRESARIAL FORUM # 1, FILIAL # 6-C-3.;F;1-658987-2000;Juridica;POZOS;SANTA ANA;478669.63;1099633.56;9.94469;-84.19454
13123;CONDOMINIO PARQUE INDUSTRIAL DEL OESTE;207010004;INDUSTRIAL;0;297;CENTROCEL;15651;4/8/2002;COM;Oficinas;297;;;0;NO;1;0;685;207010004;30479;;0;PIEDADES, CONDOMINIO PARQUE INDUSTRIAL DEL OESTE, FILIAL # 4;F;1-738646-2001;Juridica;PIEDADES;SANTA ANA;476328.52;1098905.15;9.93809;-84.21588
22692;CONDOMINIO PARQUE EMPRESARIAL FORUM I;344014000;COMERCIAL;1;109;ARQUITECTURA DANIEL LACAYO;17606;4/6/2004;COM;Otro;109;;;0;NO;1;0;72;344014000;24101;;0;POZOS, PARQUE EMPRESARIAL FORUM # 1, FILIAL # 3-A-1.;F;1-595378-1999;Juridica;POZOS;SANTA ANA;478709.25;1099585.66;9.94426;-84.19417
28395;PREDIO ORDINARIO;312094000;;0;122;SALON COMUNAL;15606;9/5/2021;COM;Otro;122;;;0;SI;1;0;86;312094000;239037;;0;COSTADO NORTE DE LA PLAZA;;1-642475-1986;Juridica;POZOS;SANTA ANA;479118.67;1100216.24;9.94996;-84.19044
38036;PREDIO ORDINARIO;102034000;;0;341;FURATI;109547;1/12/2017;COM;Deportiva;341;;;0;NO;1;0;0;102034000;583785;;0;DE LA INTERSECCION DE RUTA NACIONAL 310 CON AVENIDA 07, 26 MTS. AL NORTE. FURATI.;;1-1146852-2007;Juridica;SANTA ANA;SANTA ANA;479678.31;1098706.07;9.93631;-84.18533
7454;PREDIO ORDINARIO;206028000;;0;178;LITOIMPRESO MUNDIAL;1118;24/2/1998;COM;Otro;178;;;0;SI;1;0;439;206028000;232700;;0;BRASIL,  DE LA ENTRADA PRINCIPAL A BARRIO LOS ANGELES, 25 NORTE.;;NO SE INDICA;Fisica;BRASIL;SANTA ANA;475828.58;1098844.16;9.93754;-84.22044
4103;PREDIO ORDINARIO;503265000;;0;117;ARTAVIA ROTULACION;101782;3/8/1995;COM;Otro;117;;;0;SI;1;0;801;503265000;489170;;2;PIEDADES, DEL BAR LA PARADA 855 NOR-OESTE.;;1-681176-1987;Fisica;PIEDADES;SANTA ANA;475692.51;1098573.1;9.93509;-84.22168
30528;URBANIZACION PARQUE VALLE DEL SOL;330399000;AREA COMUN;0;413;HABITASUL S. A.;5808;20/9/2006;COM;Otro;413;;;0;NO;1;51;1244;330399000;544156;;0;POZOS, URBANIZACION PARQUE VALLE DEL SOL, CAMPO DE GOLF.;;1-892362-2003;Juridica;POZOS;SANTA ANA;476668.35;1100089.55;9.9488;-84.21279
